name,RA [deg],DEC [deg],zlens,type,grading,ref
DESJ0124-2401,21.08599,-24.02993,0.65,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0124-2918,21.11886,-29.31561,0.52,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0124-5207,21.13009,-52.11745,0.89,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0125-3645,21.26461,-36.76638,0.77,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0125-4142,21.38994,-41.70499,0.58,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0126-1316,21.54952,-13.27835,0.71,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0127-4532,21.97158,-45.54274,0.54,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0129-1142,22.38341,-11.70389,0.4,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0130-1520,22.61039,-15.33691,0.63,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0130-1600,22.7106,-16.00237,0.67,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0130-3744,22.51201,-37.74938,0.68,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0132-4707,23.20825,-47.127,0.65,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0133-1252,23.34212,-12.867,0.71,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0133-3137,23.36279,-31.61788,0.64,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0133-6434,23.47773,-64.57028,0.39,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0134-2007,23.51597,-20.11916,0.82,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0134-2910,23.56563,-29.17774,0.48,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0135-1724,23.8146,-17.40428,0.59,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0135-2033,23.92831,-20.55986,0.6,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0135-4232,23.84512,-42.53987,0.41,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0136+0008,24.1631,0.13836,0.39,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0136-1946,24.17633,-19.76814,0.56,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0136-2200,24.21191,-22.00758,0.65,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0137-0830,24.3285,-8.51552,0.51,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0138-2844,24.59567,-28.73555,0.44,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0141-1713,25.27558,-17.22326,0.61,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0141-4040,25.39168,-40.67592,0.73,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0142-1648,25.6457,-16.80487,0.6,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0142-1831,25.7203,-18.52105,0.69,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0143-0850,25.86222,-8.83925,0.68,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0143-5010,25.80483,-50.17021,0.83,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0144-0007,26.01673,-0.12953,0.55,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0144-1142,26.13855,-11.70328,0.2,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0145+0402,26.48478,4.04139,0.66,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0145-0455,26.26791,-4.93084,0.6,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0145-3541,26.44493,-35.69093,0.49,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0146-0929,26.73342,-9.49779,0.46,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0147-1206,26.808,-12.11332,0.64,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0147-4726,26.92084,-47.44452,0.47,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0148-2251,27.13131,-22.85774,0.62,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0149-1306,27.47387,-13.10269,0.78,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0149-1349,27.32835,-13.81795,0.84,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0149-1658,27.27158,-16.98188,0.63,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0149-3137,27.28328,-31.6273,0.71,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0149-3806,27.43714,-38.11493,0.54,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0149-3825,27.35922,-38.4254,0.4,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0150-0242,27.67649,-2.7018,0.62,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0150-0304,27.53794,-3.0773,0.68,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0150-2216,27.70849,-22.27092,0.41,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0151-3237,27.95172,-32.62105,0.44,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0152-5838,28.06807,-58.64509,0.48,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0153-1351,28.33026,-13.85861,0.41,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0154-4828,28.71909,-48.48199,0.4,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0156-1011,29.17803,-10.18339,0.76,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0156-6417,29.0112,-64.29168,0.7,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0157-5311,29.46787,-53.19866,0.78,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0158-0039,29.6032,-0.66649,0.6,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0158-1301,29.68192,-13.0258,0.5,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0158-2912,29.5639,-29.20502,0.65,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0159-1856,29.78989,-18.94999,0.4,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0159-3413,29.76662,-34.21786,0.47,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0159-4317,29.87848,-43.2991,0.45,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0159-4818,29.94591,-48.30353,0.71,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0201-1551,30.28319,-15.85473,0.49,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0201-2739,30.43611,-27.66177,0.88,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0202-2156,30.64198,-21.93967,0.41,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0202-2445,30.5277,-24.75106,0.71,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0202-4105,30.62112,-41.08867,0.78,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0203-2338,30.76671,-23.63405,0.62,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0205-0123,31.32083,-1.38902,0.69,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0205-0208,31.48689,-2.14297,0.59,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0205-3539,31.35872,-35.66317,0.45,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0205-4038,31.27043,-40.64118,0.58,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0206-0114,31.55611,-1.23817,0.77,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0206-1807,31.71314,-18.12256,0.75,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0206-2054,31.59147,-20.90561,0.62,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0207-2726,31.77773,-27.44577,0.42,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0209-0643,32.37218,-6.71994,0.42,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0210-0119,32.70906,-1.31827,0.67,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0210-5351,32.65344,-53.8646,0.51,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0212-0852,33.10507,-8.86967,0.69,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0214-0206,33.53333,-2.10789,0.67,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0215-2909,33.80953,-29.15711,0.7,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0216-2920,34.12915,-29.3352,0.55,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0217-0513,34.40483,-5.22483,0.55,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0220-3833,35.24032,-38.55092,0.42,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0220-4530,35.17619,-45.50086,0.86,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0220-5335,35.05973,-53.58636,0.79,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0221-0210,35.41721,-2.1723,0.57,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0225-0737,36.44218,-7.62732,0.58,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0225-1505,36.44888,-15.0922,0.67,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0226+0206,36.62452,2.11304,0.6,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0227-4718,36.78734,-47.3155,0.68,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0228-5547,37.18616,-55.79889,0.47,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0229-0338,37.37707,-3.64339,0.64,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0229-2908,37.37911,-29.13786,0.87,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0230-3122,37.56991,-31.36689,0.48,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0232+0013,38.04683,0.22756,0.81,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0232-0323,38.20774,-3.39054,0.47,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0233-0438,38.27943,-4.64393,0.58,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0234-6222,38.64655,-62.3818,0.64,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0235-4510,38.77465,-45.18173,0.69,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0235-4818,38.86317,-48.30583,0.47,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0236+0321,39.20024,3.35832,0.41,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0236-5121,39.00938,-51.36216,0.84,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0237-0913,39.36384,-9.21903,0.82,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0237-1801,39.43907,-18.01724,0.71,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0239-0134,39.97131,-1.58221,0.44,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0239-2047,39.77696,-20.78834,0.64,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0239-3211,39.8736,-32.19155,0.43,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0239-4620,39.93357,-46.34466,0.4,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0241-4115,40.27731,-41.25195,0.77,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0241-5949,40.37339,-59.8258,0.58,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0242-0207,40.56738,-2.13037,0.57,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0242-2943,40.62048,-29.71815,0.47,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0242-4811,40.68463,-48.19355,0.48,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0243-0006,40.76267,-0.10005,0.45,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0243-2142,40.86666,-21.70053,0.59,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0244-0008,41.17054,-0.14366,0.52,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0244-3019,41.20595,-30.32132,0.67,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0245-5129,41.46421,-51.4975,0.68,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0245-5301,41.35337,-53.02927,0.39,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0247-3750,41.80879,-37.83504,0.39,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0247-4432,41.75052,-44.5364,0.74,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0247-5917,41.77716,-59.29213,0.41,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0248-0331,42.01411,-3.52913,0.38,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0248-3955,42.03972,-39.93008,0.66,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0248-6054,42.24005,-60.90097,0.56,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0249-5056,42.49448,-50.94399,0.6,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0250-1610,42.71571,-16.16883,0.4,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0250-1811,42.61404,-18.19468,0.67,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0250-2545,42.58849,-25.75382,0.65,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0250-5524,42.71781,-55.40325,0.75,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0251-0613,42.93427,-6.22482,0.42,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0251-1220,42.89705,-12.33367,0.46,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0252-2145,43.18031,-21.75937,0.45,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0252-4732,43.08284,-47.54382,0.49,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0253-1239,43.37844,-12.65088,0.68,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0253-2050,43.41658,-20.8375,0.58,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0253-3547,43.39711,-35.79207,0.66,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0256-1215,44.01502,-12.25496,0.49,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0256-2707,44.09736,-27.12183,0.76,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0259-0804,44.95084,-8.07945,0.57,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0259-1521,44.80894,-15.36354,0.44,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0259-5206,44.85811,-52.11193,0.57,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0300-5001,45.09019,-50.02469,0.53,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0300-5144,45.13631,-51.74562,0.61,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0301-4426,45.4638,-44.44055,0.76,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0302-2137,45.59119,-21.63207,0.48,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0303-4626,45.9507,-46.44066,1.37,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0303-5023,45.96811,-50.39776,0.64,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0304-4921,46.06729,-49.35725,0.34,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0304-5846,46.15722,-58.77995,0.73,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0305-1024,46.27306,-10.40325,0.75,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0305-1636,46.31967,-16.60365,0.6,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0306-2304,46.69704,-23.07635,0.52,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0307-1811,46.93881,-18.18558,0.26,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0307-5042,46.96054,-50.70122,0.59,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0307-6241,46.87411,-62.68482,0.48,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0308-2106,47.2,-21.10386,0.76,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0309-1332,47.33215,-13.53674,0.59,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0309-1437,47.43782,-14.62114,0.79,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0309-3805,47.33576,-38.09604,0.62,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0309-6239,47.32498,-62.66179,0.44,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0310-0903,47.52242,-9.05404,0.61,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0310-4647,47.63526,-46.78398,0.71,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0311-2601,47.77324,-26.01778,0.94,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0311-4232,47.86322,-42.53863,0.37,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0313-2006,48.29103,-20.10875,0.8,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0313-3610,48.40598,-36.17775,0.4,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0314-2127,48.64811,-21.46665,0.45,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0314-2841,48.57753,-28.69899,0.54,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0315-6220,48.93026,-62.34321,0.51,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0316-2236,49.16179,-22.60925,0.79,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0317-2118,49.42391,-21.30499,0.48,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0317-2625,49.29261,-26.42107,0.76,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0318-1942,49.62499,-19.70766,0.64,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0319-1734,49.92199,-17.5679,0.68,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0319-4759,49.99213,-47.98763,0.48,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0319-5318,49.75905,-53.30547,0.43,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0319-5751,49.90701,-57.85219,0.54,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0320-1624,50.15414,-16.40618,0.59,galaxy,confirmed,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0320-3119,50.06689,-31.32149,0.75,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0320-4159,50.11682,-41.98881,0.66,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0321-1530,50.3566,-15.50098,0.62,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0322-2339,50.67685,-23.66524,0.54,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
DESJ0322-3946,50.71632,-39.76936,0.85,galaxy,probable,https://iopscience.iop.org/article/10.3847/1538-4365/ab26b6#apjsab26b6t5
